WELL,DEPTH,FACIES,W_TAR,SW,VSH,PHI,RW
well-102496,437.0000,5,  0.0000,  1.0000,  1.0000,  0.0000,  1.0540
well-102496,437.2500,5,  0.0000,  1.0000,  0.9560,  0.0160,  1.0540
well-102496,437.5000,5,  0.0000,  1.0000,  0.7760,  0.0830,  1.0540
well-102496,437.7500,4,  0.0000,  1.0000,  0.5830,  0.1540,  1.0540
well-102496,438.0000,2,  0.0000,  1.0000,  0.3830,  0.2280,  1.0540
well-102496,438.2500,2,  0.0000,  1.0000,  0.4890,  0.1890,  1.0530
well-102496,438.5000,4,  0.0000,  1.0000,  0.5520,  0.1660,  1.0530
well-102496,438.7500,2,  0.0000,  1.0000,  0.4500,  0.2040,  1.0530
well-102496,439.0000,2,  0.0000,  1.0000,  0.3950,  0.2240,  1.0530
well-102496,439.2500,2,  0.0000,  1.0000,  0.3720,  0.2320,  1.0530
well-102496,439.5000,2,  0.0000,  1.0000,  0.3810,  0.2290,  1.0530
well-102496,439.7500,2,  0.0000,  1.0000,  0.3900,  0.2260,  1.0530
well-102496,440.0000,4,  0.0000,  1.0000,  0.5600,  0.1630,  1.0530
well-102496,440.2500,4,  0.0000,  1.0000,  0.6950,  0.1130,  1.0530
well-102496,440.5000,5,  0.0000,  1.0000,  0.8040,  0.0730,  1.0530
well-102496,440.7500,5,  0.0000,  1.0000,  0.9110,  0.0330,  1.0520
well-102496,441.0000,5,  0.0000,  1.0000,  0.8010,  0.0740,  1.0520
well-102496,441.2500,4,  0.0000,  1.0000,  0.6300,  0.1370,  1.0520
well-102496,441.5000,4,  0.0000,  1.0000,  0.5470,  0.1680,  1.0520
well-102496,441.7500,4,  0.0000,  1.0000,  0.5190,  0.1780,  1.0520
well-102496,442.0000,4,  0.0000,  1.0000,  0.5560,  0.1640,  1.0520
well-102496,442.2500,4,  0.0000,  1.0000,  0.5790,  0.1560,  1.0520
well-102496,442.5000,4,  0.0000,  1.0000,  0.6000,  0.1480,  1.0520
well-102496,442.7500,4,  0.0000,  1.0000,  0.5610,  0.1620,  1.0520
well-102496,443.0000,4,  0.0000,  1.0000,  0.5170,  0.1790,  1.0510
well-102496,443.2500,4,  0.0000,  1.0000,  0.5350,  0.1720,  1.0510
well-102496,443.5000,4,  0.0000,  1.0000,  0.5750,  0.1570,  1.0510
well-102496,443.7500,4,  0.0000,  1.0000,  0.6090,  0.1450,  1.0510
well-102496,444.0000,4,  0.0000,  1.0000,  0.6610,  0.1250,  1.0510
well-102496,444.2500,5,  0.0000,  1.0000,  0.7100,  0.1070,  1.0510
well-102496,444.5000,5,  0.0000,  1.0000,  0.7610,  0.0880,  1.0510
well-102496,444.7500,5,  0.0000,  1.0000,  0.7490,  0.0930,  1.0510
well-102496,445.0000,5,  0.0000,  1.0000,  0.7220,  0.1030,  1.0510
well-102496,445.2500,5,  0.0000,  1.0000,  0.7030,  0.1100,  1.0510
well-102496,445.5000,5,  0.0000,  1.0000,  0.7030,  0.1100,  1.0500
